# Resolvers to which Google may not return AAAA records.
# Copyright 2012 Google Inc. All Rights Reserved.
# Last updated: 2012-11-25.

192.0.2.0/24
2001:db8::/32
211.132.129.57/32        # AS9595 Japan
219.243.224.5/32         # AS4538 China
202.208.174.177/32       # AS7511 Japan
202.208.174.145/32       # AS7511 Japan
58.20.126.99/32          # AS4837 China
84.238.0.130/32          # AS33796 Denmark
158.108.2.67/32          # AS9411 Thailand
61.213.209.161/32        # AS17534 Japan
194.29.137.1/32          # AS12464 Poland
41.204.164.3/32          # AS36914 Kenya
202.120.2.100/31         # AS4538 China
166.111.8.28/31          # AS4538 China
131.231.16.7/32          # AS786 United Kingdom
218.223.68.73/32         # AS18068 Japan
207.46.52.142/32         # AS8069
157.158.0.4/32           # AS8508 Poland
130.39.254.28/31         # AS2055 United States
140.117.239.247/32       # AS17713 Taiwan
202.229.78.240/32        # AS2514 Japan
202.229.78.239/32        # AS2514 Japan
194.27.49.1/32           # AS8517 Turkey
219.105.32.32/32         # AS18097 Japan
103.8.161.51/32          # AS17564 Malaysia
202.98.18.3/32           # AS4837 China
218.219.161.2/32         # AS17961 Japan
195.110.50.52/32         # AS196729 Poland
202.114.0.242/32         # AS4538 China
131.220.99.33/32         # AS680 Germany
64.212.106.84/32         # AS3549 United States
202.202.0.33/32          # AS4538 China
202.216.97.11/32         # AS7505 Japan
93.186.16.238/32         # AS18705
202.116.160.32/32        # AS4538 China
194.138.212.13/32        # AS10962 United States
213.160.128.3/32         # AS12963 Ukraine
61.220.5.59/32           # AS3462 Taiwan
61.220.5.37/32           # AS3462 Taiwan
61.220.5.43/32           # AS3462 Taiwan
61.208.178.3/32          # AS4713 Japan
122.248.96.20/32         # AS18399 Myanmar [Burma]
192.35.17.20/32          # AS15465 Germany
85.120.204.98/32         # AS2614 Romania
41.89.1.4/32             # AS36914 Kenya
220.208.130.6/32         # AS18282 Japan
94.245.126.18/32         # AS8075 United Kingdom
189.44.66.16/32          # AS10429 Brazil
202.112.14.151/32        # AS4538 China
202.120.127.219/32       # AS4538 China
129.70.204.148/31        # AS680 Germany
213.129.96.1/32          # AS24923 Russia
202.92.128.246/32        # AS23862 Philippines
143.106.2.5/32           # AS53187 Brazil
150.217.1.32/32          # AS137 Italy
202.112.112.200/32       # AS4538 China
156.17.93.253/32         # AS8970 Poland
158.108.196.2/32         # AS9411 Thailand
212.113.161.226/31       # AS12542 Portugal
195.245.233.2/32         # AS25373 Slovakia
200.189.112.41/32        # AS19723 Brazil
153.20.24.71/32          # AS9877 Singapore
200.189.112.42/32        # AS19723 Brazil
200.93.221.17/32         # AS27947 Ecuador
80.254.79.157/32         # AS24889 Switzerland
210.39.0.33/32           # AS4538 China
202.194.14.12/32         # AS4538 China
193.55.130.2/32          # AS2200 France
203.74.21.129/32         # AS3462 Taiwan
101.203.168.91/32        # AS55674 Indonesia
202.113.15.1/32          # AS4538 China
159.226.8.25/32          # AS7497 China
80.118.192.100/32        # AS15557 France
159.226.8.26/32          # AS7497 China
202.201.0.133/32         # AS4538 China
200.91.32.44/32          # AS28048 Argentina
140.117.239.248/32       # AS17713 Taiwan
159.226.8.29/32          # AS7497 China
58.20.46.201/32          # AS4837 China
200.51.83.134/32         # AS10834 Argentina
140.146.22.66/32         # AS2381 United States
153.20.24.72/32          # AS9877 Singapore
163.16.1.12/32           # AS1659 Taiwan
61.188.4.55/32           # AS4134 China
131.175.1.4/32           # AS137 Italy
190.169.30.2/32          # AS19192 Venezuela
202.113.16.9/32          # AS4538 China
202.114.32.1/32          # AS4538 China
187.49.0.6/32            # AS28138 Brazil
194.63.238.4/32          # AS8248 Greece
158.125.1.100/32         # AS786 United Kingdom
202.112.20.131/32        # AS4538 China
210.34.0.18/32           # AS4538 China
158.108.96.4/32          # AS9411 Thailand
163.17.1.1/32            # AS1659 Taiwan
147.8.235.73/32          # AS4528 Hong Kong
218.192.240.2/32         # AS4538 China
147.8.165.13/32          # AS4528 Hong Kong
147.230.16.140/32        # AS2852 Czech Republic
202.119.32.6/32          # AS4538 China
202.114.88.10/32         # AS4538 China
202.203.208.33/32        # AS4538 China
74.117.59.6/32           # AS40676 United States
